,Entries,Fee,Payout,Time,Unnamed: 0,link,name,time_pulled
0,15.1K/17.6K,$4," $60,000",LIVE!,0.0,/contest/gamecenter/43299739,NFL $60K Front Four (Preseason),2017-08-11
1,7058/7058,$0.25," $1,500",LIVE!,1.0,/contest/gamecenter/43293788,NFL $1.5K Quarter Jukebox [Just $0.25!] (Preseason),2017-08-11
2,4705/4705,$1," $4,000",LIVE!,2.0,/contest/gamecenter/43293787,NFL $4K First Down (Preseason),2017-08-11
3,2370/2823,$0.25,200 Tickets,LIVE!,3.0,/contest/gamecenter/43293832,NFL $2M Play-Action SUPERSatellite [200x] (Preseason),2017-08-11
4,1882/1882,$0.25,20 Tickets,LIVE!,4.0,/contest/gamecenter/43293830,NFL $5.55M Fantasy Football Millionaire SUPERSatellite [20x] (Preseason),2017-08-11
5,1176/1176,$3," $3,000",LIVE!,5.0,/contest/gamecenter/43299737,NFL $3K Play-Action (Preseason),2017-08-11
6,976/1058,$1,300 Tickets,LIVE!,6.0,/contest/gamecenter/43293831,NFL $2M Play-Action SUPERSatellite [300x] (Preseason),2017-08-11
7,882/882,$1, $750,LIVE!,7.0,/contest/gamecenter/43313515,NFL $750 First Down (Preseason),2017-08-11
8,784/784,$3," $2,000",LIVE!,8.0,/contest/gamecenter/43309028,NFL $2K Play-Action (Preseason),2017-08-11
9,700/700,$33," $20,000",LIVE!,9.0,/contest/gamecenter/43299740,NFL $20K Bootleg (Preseason),2017-08-11
10,588/588,$1, $500,LIVE!,10.0,/contest/gamecenter/43308895,NFL $500 Daily Dollar [Single Entry] (Preseason),2017-08-11
11,588/588,$1, $500,LIVE!,11.0,/contest/gamecenter/43293800,NFL $500 Daily Dollar [Single Entry] (Preseason),2017-08-11
12,588/588,$2," $1,000",LIVE!,12.0,/contest/gamecenter/43293784,NFL $1K Safety (Preseason),2017-08-11 22:49:35.450216
13,574/574,$2," $1,000",LIVE!,13.0,/contest/gamecenter/43308892,NFL $2 Double Up (Preseason),2017-08-11 22:49:35.450216
14,574/574,$2," $1,000",LIVE!,14.0,/contest/gamecenter/43293786,NFL $2 Double Up (Preseason),2017-08-11 22:49:35.450216
15,481/481,$12," $5,000",LIVE!,15.0,/contest/gamecenter/43293797,NFL $5K Fair Catch [Single Entry] (Preseason),2017-08-11
16,392/392,$3," $1,000",LIVE!,16.0,/contest/gamecenter/43293791,NFL $1K Triple Option [3 Entry Max] (Preseason),2017-08-11
